categoria,nombre,precio,precio_transferencia,descripcion,variantes,url
"" ,"Andis AGC2 Super","Precio sin impuestos
                            : $0,00","$470.000,00 Precio sin impuestos $388.429,75 $446.500,00 con Transferencia o depósito bancario 💰","CONSULTA STOCK AQUI Funcionamiento frio y silencioso, no requiere de ventiladores que soplan pelo. Interruptor de bloqueo, que asegura que no se apague accidentalmente. Cable de alta resistencia, que ","","https://lamascoteranoa.com.ar/productos/andis-agc2-super/"
"" ,"BABS AEROSOL AMBIENTAL X 415 ML.","Precio sin impuestos
                            : $0,00","$13.300,00 Precio sin impuestos $10.991,74 $12.635,00 con Transferencia o depósito bancario 💰","ELIMINA PULGAS, GARRAPATAS Y OTROS PARÁCITOS DEL MEDIO AMBIENTES. Los parásitos, en estado adulto e inmaduro, se encuentran también en las cuchas, dormideros, zócalos, rincones, paredes, alfombras, si","","https://lamascoteranoa.com.ar/productos/babs-aerosol-ambiental-x-415-ml/"
"" ,"BALANCED AD RP X3KG","Precio sin impuestos
                            : $0,00","$19.600,00 Precio sin impuestos $16.198,35 $18.620,00 con Transferencia o depósito bancario 💰","Vitalcan Balanced es ideal para perros adultos de raza pequeña porque su Programa Equilibrio Saludable les proporciona: Modulación de defensas: formulado con vitamina C y nucleótidos de levadura que a","","https://lamascoteranoa.com.ar/productos/balanced-ad-rp-x3kg/"
"" ,"BALANCED LATA CACHORRO X 85GR","Precio sin impuestos
                            : $0,00","$2.700,00 Precio sin impuestos $2.231,40 $2.565,00 con Transferencia o depósito bancario 💰","Balanced Soufflé para cachorros ofrece una alimentación completa con una textura aireada, suave y fácil de digerir, ideal para los primeros meses de vida. ✔️ Con DHA para el desarrollo cerebral y visu","","https://lamascoteranoa.com.ar/productos/balanced-lata-cachorro-x-85gr/"
"" ,"BALANCED LATA CACHORRO x 340gr","Precio sin impuestos
                            : $0,00","$7.600,00 Precio sin impuestos $6.280,99 $7.220,00 con Transferencia o depósito bancario 💰","Balanced Soufflé para cachorros ofrece una alimentación completa con una textura aireada, suave y fácil de digerir, ideal para los primeros meses de vida. ✔️ Con DHA para el desarrollo cerebral y visu","","https://lamascoteranoa.com.ar/productos/balanced-lata-cachorro-x-340gr/"
"" ,"BALANCED LATA GATO ADULTO X 85GR","Precio sin impuestos
                            : $0,00","$2.700,00 Precio sin impuestos $2.231,40 $2.565,00 con Transferencia o depósito bancario 💰","Balanced Soufflé para gatos adultos combina una textura aireada y delicada con ingredientes seleccionados para una experiencia placentera y funcional en cada comida. ✔️ Con prebióticos que favorecen l","","https://lamascoteranoa.com.ar/productos/balanced-lata-gato-adulto-x-85gr/"
"" ,"BALANCED LATA GATO CACHORRO X 340GR","Precio sin impuestos
                            : $0,00","$7.600,00 Precio sin impuestos $6.280,99 $7.220,00 con Transferencia o depósito bancario 💰","Balanced Soufflé para gatos cachorros ofrece una textura aireada y delicada que facilita la transición al alimento sólido, brindando placer y nutrición en cada bocado. ✔️ Con DHA para el desarrollo de","","https://lamascoteranoa.com.ar/productos/balanced-lata-gato-cachorro-x-340gr/"
"" ,"BALANCED LATA GATO CACHORRO X 85GR","Precio sin impuestos
                            : $0,00","$2.700,00 Precio sin impuestos $2.231,40 $2.565,00 con Transferencia o depósito bancario 💰","Balanced Soufflé para gatos cachorros ofrece una textura aireada y delicada que facilita la transición al alimento sólido, brindando placer y nutrición en cada bocado. ✔️ Con DHA para el desarrollo de","","https://lamascoteranoa.com.ar/productos/balanced-lata-gato-cachorro-x-85gr/"
"" ,"BALANCED LATA GATO CASTRADO X 85GR","Precio sin impuestos
                            : $0,00","$2.700,00 Precio sin impuestos $2.231,40 $2.565,00 con Transferencia o depósito bancario 💰","Balanced Soufflé para gatos castrados ofrece una textura suave y aireada con una fórmula pensada para cuidar su salud y mantener el peso ideal, sin resignar sabor. ✔️ Con L-carnitina , que ayuda al me","","https://lamascoteranoa.com.ar/productos/balanced-lata-gato-castrado-x-85gr/"
"" ,"BALANCED LATA GATO SENIOR X 340GR","Precio sin impuestos
                            : $0,00","$7.600,00 Precio sin impuestos $6.280,99 $7.220,00 con Transferencia o depósito bancario 💰","Balanced Soufflé para gatos senior está formulado para acompañar a tu gato en su etapa adulta avanzada, combinando una textura suave y aireada con nutrientes clave para su bienestar. ✔️ Con DHA , que ","","https://lamascoteranoa.com.ar/productos/balanced-lata-gato-senior-x-340gr/"
